iter	RMSE
909	28174.36623
910	28167.22146
911	28160.02477
912	28149.66429
913	28140.10342
914	28133.23948
915	28113.24513
916	28102.562
917	28094.54605
918	28076.86664
919	28066.87656
920	28049.33161
921	28039.82141
922	28032.82084
923	28026.96882
924	28013.49135
925	28003.09569
926	27991.85806
927	27982.70176
928	27973.33293
929	27959.17076
930	27951.38478
931	27938.79614
932	27930.14266
933	27923.7594
934	27915.09904
935	27906.14058
936	27896.41126
937	27889.29086
938	27875.32717
939	27864.28954
940	27857.86507
941	27848.61778
942	27837.81108
943	27829.70309
944	27824.81637
945	27810.39386
946	27802.01443
947	27789.41121
948	27769.12256
949	27760.46759
950	27752.24741
951	27746.96773
952	27742.15353
953	27722.30358
954	27710.80726
955	27700.83733
956	27692.2174
957	27682.83237
958	27675.63805
959	27661.39661
960	27653.40925
961	27645.66738
962	27637.0077
963	27631.44545
964	27615.70785
965	27609.97689
966	27595.94933
967	27581.81805
968	27575.07026
969	27565.74052
970	27552.08664
971	27539.93708
972	27532.86836
973	27522.54283
974	27513.89687
975	27505.13998
976	27495.71563
977	27482.38214
978	27473.8009
979	27465.53936
980	27459.70203
981	27454.6164
982	27441.37351
983	27430.84833
984	27418.2973
985	27407.13038
986	27394.24816
987	27386.2306
988	27370.74523
989	27360.9503
990	27351.28157
991	27344.42325
992	27333.85133
993	27326.91433
994	27319.33207
995	27305.77267
996	27296.74881
997	27289.05948
998	27278.46952
999	27270.09492
1000	27263.24579
1001	27257.10219
1002	27246.47321
1003	27238.86107
1004	27224.31537
1005	27213.76964
1006	27204.93374
1007	27197.14573
1008	27183.72995
1009	27173.80815
1010	27164.06044
1011	27155.79389
1012	27140.21585
1013	27135.73451
1014	27130.73735
1015	27124.82243
1016	27114.60843
1017	27096.47891
1018	27084.15566
1019	27073.71178
1020	27066.13351
1021	27061.94358
1022	27052.92873
1023	27047.53855
1024	27037.54943
1025	27028.73671
1026	27021.74687
1027	27012.92271
1028	27003.96516
1029	26987.33562
1030	26981.26057
1031	26968.63503
1032	26958.75532
1033	26951.04629
1034	26942.84206
1035	26930.9401
1036	26919.89878
1037	26914.74965
1038	26905.02905
1039	26900.39273
1040	26889.74655
1041	26884.28192
1042	26871.29548
1043	26865.40581
1044	26854.77861
1045	26841.33151
1046	26831.93011
1047	26826.03386
1048	26815.9651
1049	26807.67191
1050	26799.40558
1051	26794.03257
1052	26788.82329
1053	26779.55236
1054	26768.28575
1055	26760.92918
1056	26744.87634
1057	26737.30303
1058	26730.03873
1059	26715.29568
1060	26709.44223
1061	26700.32556
1062	26689.39844
1063	26680.33296
1064	26673.8112
1065	26662.94989
1066	26654.94503
1067	26645.80941
1068	26634.68468
1069	26627.7361
1070	26620.28368
1071	26614.32761
1072	26606.74495
1073	26598.31842
1074	26583.75225
1075	26575.30224
1076	26567.56238
1077	26558.38574
1078	26555.09596
1079	26546.02286
1080	26536.87715
1081	26524.46112
1082	26520.16621
1083	26513.84408
1084	26494.42819
1085	26488.19442
1086	26476.66785
1087	26463.87608
1088	26455.08695
1089	26446.90182
1090	26429.09315
1091	26423.16627
1092	26412.26927
1093	26403.32765
1094	26395.29908
1095	26391.09391
1096	26377.97065
1097	26363.89515
1098	26356.39977
1099	26348.88199
1100	26341.33053
1101	26329.92217
1102	26324.13549
1103	26317.36437
1104	26308.55107
1105	26303.00805
1106	26291.77683
1107	26283.02189
1108	26272.26764
1109	26261.76118
1110	26252.01942
1111	26239.12371
1112	26230.0243
1113	26219.54756
1114	26203.04659
1115	26195.60661
1116	26179.64625
1117	26169.95865
1118	26159.99731
1119	26152.79124
1120	26138.46086
1121	26133.04432
1122	26127.44333
1123	26111.56583
1124	26103.96679
1125	26096.11715
1126	26091.86375
1127	26081.46373
1128	26073.68192
1129	26065.74395
1130	26058.55468
1131	26046.84347
1132	26036.2047
1133	26027.10312
1134	26017.17876
1135	26009.9494
1136	26003.39563
1137	25996.63338
1138	25992.09508
1139	25986.01997
1140	25978.28298
1141	25970.60035
1142	25960.99534
1143	25953.58167
1144	25932.81646
1145	25921.78906
1146	25911.78669
1147	25905.98007
1148	25898.61577
1149	25892.5599
1150	25886.70765
1151	25880.82979
1152	25868.96628
1153	25853.78957
1154	25845.81426
1155	25833.35853
1156	25826.18992
1157	25816.19649
1158	25810.66689
1159	25802.82773
1160	25794.38691
1161	25785.73852
1162	25780.32644
1163	25773.91731
1164	25766.43545
1165	25755.67733
1166	25744.00452
1167	25736.10172
1168	25729.57986
1169	25712.66201
1170	25705.01917
1171	25699.16593
1172	25694.80443
1173	25688.15477
1174	25672.73274
1175	25667.41598
1176	25661.94613
1177	25655.00844
1178	25645.43619
1179	25636.82082
1180	25631.06372
1181	25625.24628
1182	25618.54661
1183	25610.15271
1184	25600.47552
1185	25594.74056
1186	25585.55639
1187	25575.36029
1188	25567.05942
1189	25561.11046
1190	25553.81513
1191	25550.13887
1192	25543.4517
1193	25535.69496
1194	25530.33125
1195	25523.00962
1196	25515.44274
1197	25506.65748
1198	25497.07599
1199	25489.86711
1200	25484.56729
1201	25474.9297
1202	25468.2014
1203	25460.56947
1204	25453.93185
1205	25443.57406
1206	25437.61604
1207	25431.14382
1208	25426.56256
1209	25417.37929
1210	25409.88323
1211	25397.86363
1212	25392.35661
1213	25385.65514
1214	25380.70102
1215	25373.21033
1216	25361.04042
1217	25354.27392
1218	25350.05701
1219	25341.15593
1220	25328.85315
1221	25323.83148
1222	25314.34964
1223	25306.57407
1224	25300.64621
1225	25297.58264
1226	25289.14227
1227	25283.58128
1228	25274.45794
1229	25268.97488
1230	25259.21551
1231	25251.10525
1232	25242.8856
1233	25235.36004
1234	25231.0382
1235	25224.28912
1236	25217.06018
1237	25210.28025
1238	25205.5718
1239	25199.16848
1240	25196.42275
1241	25190.22549
1242	25185.80338
1243	25174.50366
1244	25165.0814
1245	25152.54
1246	25143.31938
1247	25137.11441
1248	25133.62599
1249	25125.88351
1250	25122.24322
1251	25115.21807
1252	25109.89505
1253	25105.62009
1254	25100.41759
1255	25092.06008
1256	25079.02851
1257	25067.29214
1258	25063.00819
1259	25057.66621
1260	25051.82576
1261	25043.94036
1262	25041.14291
1263	25035.32185
1264	25025.57275
1265	25020.65598
1266	25012.07289
1267	25008.93658
1268	25002.60506
1269	24991.59503
1270	24981.697
1271	24974.41445
1272	24967.11944
1273	24949.32132
1274	24941.10182
1275	24932.00369
1276	24927.16667
1277	24909.05238
1278	24902.87311
1279	24895.88361
1280	24889.31366
1281	24874.45463
1282	24862.36717
1283	24858.6392
1284	24843.74886
1285	24836.84741
1286	24830.99077
1287	24823.22947
1288	24817.17464
1289	24809.84235
1290	24801.25001
1291	24794.31664
1292	24788.89316
1293	24776.69225
1294	24771.86546
1295	24758.9704
1296	24750.8467
